Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2021.0,7.0,2.0,Barotac Nuevo Bridge,C,6.4,3.0,724.0,7.0,28.0,49000.0,0.2285714285714286,0.0,10125.176571428572,High Risk
2021.0,7.0,3.0,Moroboro Dam,C,8.4,2.0,244.0,7.0,28.0,79000.0,0.3,0.0,16226.843714285715,High Risk
2021.0,7.0,4.0,Duenas Bridge,C,8.4,3.0,553.0,7.0,28.0,79000.0,0.3,0.0,16254.054571428573,High Risk
2021.0,7.0,5.0,Downstream Passi II,C,8.5,2.0,562.0,7.0,28.0,33000.0,0.30357142857142855,0.0,6827.314714285714,High Risk
2021.0,7.0,6.0,Downstream Passi I,C,7.8,2.0,462.0,7.0,28.0,49000.0,0.2785714285714286,0.0,10098.949714285714,High Risk
2021.0,7.0,7.0,Upstream Passi I,C,7.6,3.0,518.0,7.0,27.0,79000.0,0.28148148148148144,0.0,16251.731238095239,High Risk
2021.0,7.0,8.0,Calinog Bridge (Class A),A,7.0,1.0,341.0,7.0,26.0,70000.0,0.2692307692307692,0.0,14389.50819047619,High Risk
2021.0,7.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,7.7,2.0,252.0,7.0,26.0,240000.0,0.29615384615384616,0.0,49215.64804761905,High Risk
2021.0,8.0,1.0,"Inland Fisheries, Leganes",C,9.1,1.0,16.0,7.0,32.0,79000.0,0.284375,0.0,16209.21319047619,High Risk
2021.0,8.0,10.0,Alibunan Upstream (Class A),A,9.2,1.0,17.0,7.0,26.0,23000.0,0.3538461538461538,0.0,4728.13019047619,High Risk
2021.0,8.0,2.0,Barotac Nuevo Bridge,C,9.2,1.0,118.0,7.0,30.0,49000.0,0.30666666666666664,0.0,10068.185523809525,High Risk
2021.0,8.0,3.0,Moroboro Dam,C,9.2,1.0,27.0,7.0,30.0,540000.0,0.30666666666666664,0.0,110666.62352380953,High Risk
2021.0,8.0,4.0,Duenas Bridge,C,9.1,1.0,143.0,7.0,29.0,350000.0,0.3137931034482758,0.0,71744.24719047619,High Risk
2021.0,8.0,5.0,Downstream Passi II,C,8.2,1.0,184.0,7.0,29.0,49000.0,0.2827586206896551,0.0,10074.55419047619,High Risk
2021.0,8.0,6.0,Downstream Passi I,C,9.2,1.0,161.0,7.0,30.0,49000.0,0.30666666666666664,0.0,10071.711523809525,High Risk
